retrieved,file,pages,sha256,url
2026-09-18,hw5.pdf,11,40ea526093d87695792fd80d814b5909456398ab3a21799b230951b7c80f444c,https://rail.eecs.berkeley.edu/deeprlcourse/static/homeworks/hw5.pdf
2026-09-18,section-8.pdf,4,8280a0bed0d461121597ea682c5337f01e54bf9e9359cf424a7b5bd7b8f39565,https://rail.eecs.berkeley.edu/deeprlcourse/static/sections/section-8.pdf
2026-09-18,lec-17.pdf,25,fb2c919f76fd6567d4ae315f2faaa3f631c3c8c19c9f914c1a9247b2723c6fa2,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-17.pdf
2026-09-18,lec-18.pdf,35,49bfe9b9f8ef1e4d88f3ac413bf1cf40bcf9509d2207cca8470010ff152a29fa,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-18.pdf
2026-09-18,section-9.pdf,5,5967ad1c5e26612f51157a67c32c6cba62675e892d6f66b9e175e693b41c5b7f,https://rail.eecs.berkeley.edu/deeprlcourse/static/sections/section-9.pdf
2026-09-18,lec-19.pdf,23,bf78773cf3434d7cc475fac209f2a845cadd3f9c284fd4b54b20f458c9c1e5f3,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-19.pdf
2026-09-18,lec-20.pdf,28,598200da115837bba957db8573036b667e36331ad056ad63c756c34f34dec4d8,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-20.pdf
2026-09-18,lec-21.pdf,34,42a7b90836b9ec4c3dda0dcf35514d6b04253ad09070475e2c712ed8d7dd39c0,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-21.pdf
2026-09-18,lec-22.pdf,73,aff877c85c2ffb2d1bdd6da80e432b34be86ef2690b236dd8a5bfc0881c45f1d,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-22.pdf
2026-09-18,lec-23.pdf,18,fb9ae1c109ad0b8ff8455773c8b37e38905b550b717dcd729b12cb85deaf2a61,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-23.pdf
2026-09-18,lec-24.pdf,53,0dae9a2fe8877826a540772f401c78b2324431a3af4dfc60a10024b3c71a9d0b,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-24.pdf
2026-09-18,lec-25.pdf,44,1b626c3a06289f4ede054bf10e07d257b3ed38478f9c1aa7791f461f0c916fba,https://rail.eecs.berkeley.edu/deeprlcourse/static/slides/lec-25.pdf
2026-09-18,viz.pdf,3,0b6043646ce33aa701383fc8d895b6f0a7862dd0493c708701f8bf1bfbcbf9bb,https://rail.eecs.berkeley.edu/deeprlcourse/static/misc/viz.pdf
